Shape,Clarity,Color,Shape-Color-Clarity,Begin Size,End Size,List,Date
PS,IF,D,PS-D-IF-0.18,0.18,0.22,1370,7/5/2024
PS,VVS1,D,PS-D-VVS1-0.18,0.18,0.22,1370,7/5/2024
PS,VVS2,D,PS-D-VVS2-0.18,0.18,0.22,1370,7/5/2024
PS,VS1,D,PS-D-VS1-0.18,0.18,0.22,1160,7/5/2024
PS,VS2,D,PS-D-VS2-0.18,0.18,0.22,1160,7/5/2024
PS,SI1,D,PS-D-SI1-0.18,0.18,0.22,1000,7/5/2024
PS,SI2,D,PS-D-SI2-0.18,0.18,0.22,850,7/5/2024
PS,SI3,D,PS-D-SI3-0.18,0.18,0.22,710,7/5/2024
PS,I1,D,PS-D-I1-0.18,0.18,0.22,600,7/5/2024
PS,I2,D,PS-D-I2-0.18,0.18,0.22,450,7/5/2024
PS,I3,D,PS-D-I3-0.18,0.18,0.22,360,7/5/2024
PS,IF,E,PS-E-IF-0.18,0.18,0.22,1370,7/5/2024
PS,VVS1,E,PS-E-VVS1-0.18,0.18,0.22,1370,7/5/2024
PS,VVS2,E,PS-E-VVS2-0.18,0.18,0.22,1370,7/5/2024
PS,VS1,E,PS-E-VS1-0.18,0.18,0.22,1160,7/5/2024
PS,VS2,E,PS-E-VS2-0.18,0.18,0.22,1160,7/5/2024
PS,SI1,E,PS-E-SI1-0.18,0.18,0.22,1000,7/5/2024
PS,SI2,E,PS-E-SI2-0.18,0.18,0.22,850,7/10/2024
PS,SI3,E,PS-E-SI3-0.18,0.18,0.22,710,7/5/2024
PS,I1,E,PS-E-I1-0.18,0.18,0.22,600,7/5/2024
PS,I2,E,PS-E-I2-0.18,0.18,0.22,450,7/5/2024
PS,I3,E,PS-E-I3-0.18,0.18,0.22,360,7/5/2024
PS,IF,F,PS-F-IF-0.18,0.18,0.22,1370,7/5/2024
PS,VVS1,F,PS-F-VVS1-0.18,0.18,0.22,1370,7/5/2024
PS,VVS2,F,PS-F-VVS2-0.18,0.18,0.22,1370,7/5/2024
PS,VS1,F,PS-F-VS1-0.18,0.18,0.22,1160,7/5/2024
PS,VS2,F,PS-F-VS2-0.18,0.18,0.22,1160,7/5/2024
PS,SI1,F,PS-F-SI1-0.18,0.18,0.22,1000,7/5/2024
PS,SI2,F,PS-F-SI2-0.18,0.18,0.22,850,7/5/2024
PS,SI3,F,PS-F-SI3-0.18,0.18,0.22,710,7/5/2024
PS,I1,F,PS-F-I1-0.18,0.18,0.22,600,7/5/2024
PS,I2,F,PS-F-I2-0.18,0.18,0.22,450,7/5/2024
PS,I3,F,PS-F-I3-0.18,0.18,0.22,360,7/5/2024
PS,IF,G,PS-G-IF-0.18,0.18,0.22,1210,7/5/2024
PS,VVS1,G,PS-G-VVS1-0.18,0.18,0.22,1210,7/5/2024
PS,VVS2,G,PS-G-VVS2-0.18,0.18,0.22,1210,7/5/2024
PS,VS1,G,PS-G-VS1-0.18,0.18,0.22,1020,7/5/2024
PS,VS2,G,PS-G-VS2-0.18,0.18,0.22,1020,7/5/2024
PS,SI1,G,PS-G-SI1-0.18,0.18,0.22,880,7/5/2024
PS,SI2,G,PS-G-SI2-0.18,0.18,0.22,750,7/5/2024
PS,SI3,G,PS-G-SI3-0.18,0.18,0.22,630,7/5/2024
PS,I1,G,PS-G-I1-0.18,0.18,0.22,520,7/5/2024
PS,I2,G,PS-G-I2-0.18,0.18,0.22,400,7/5/2024
PS,I3,G,PS-G-I3-0.18,0.18,0.22,320,7/5/2024
PS,IF,H,PS-H-IF-0.18,0.18,0.22,1210,7/5/2024
PS,VVS1,H,PS-H-VVS1-0.18,0.18,0.22,1210,7/5/2024
PS,VVS2,H,PS-H-VVS2-0.18,0.18,0.22,1210,7/5/2024
PS,VS1,H,PS-H-VS1-0.18,0.18,0.22,1020,7/5/2024
PS,VS2,H,PS-H-VS2-0.18,0.18,0.22,1020,7/5/2024
PS,SI1,H,PS-H-SI1-0.18,0.18,0.22,880,7/5/2024
